area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
210.0,10.8247612760899,106.692016386151,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,16.0,5,5,5,Đầy đủ,1,2,49.0
330.0,21.07371464827287,105.82408926977756,Sổ hồng/Sổ đỏ,Chưa xác định,15.0,15.0,4,5,5,Thỏa thuận,1,2,95.8
270.0,10.7724669997346,106.757217759846,Giấy tờ khác,Chưa xác định,15.0,15.0,3,5,5,Đầy đủ,0,2,68.0
244.0,10.7878471722798,106.677920573205,Sổ hồng/Sổ đỏ,Chưa xác định,14.0,14.0,3,5,5,Thỏa thuận,0,2,46.0
150.0,20.994481991868177,105.95042653254474,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,13.0,3,5,5,Thỏa thuận,0,2,35.0
140.0,21.073499213569274,105.82346364841467,Sổ hồng/Sổ đỏ,Bắc,7.0,13.5,4,4,4,Nhà trống,0,2,62.0
225.0,21.04611653227816,105.91561284429024,Giấy tờ khác,Đông,8.0,12.0,4,4,4,Đầy đủ,0,2,79.0
231.0,21.07933636860292,105.81422786437518,Giấy tờ khác,Tây Bắc,15.0,25.0,5,5,5,Đầy đủ,0,2,145.0
376.0,10.7823410047362,106.750641646841,Sổ hồng/Sổ đỏ,Chưa xác định,20.0,15.0,2,5,6,Đầy đủ,0,2,88.0
132.0,10.789056324675649,106.80104052103694,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,15.0,3,5,5,Cơ bản,0,2,14.5
270.0,20.9739912016837,105.922153888113,Sổ hồng/Sổ đỏ,Tây Bắc,10.0,15.0,4,5,5,Thỏa thuận,0,2,45.0
240.0,20.979726426076454,105.74111520290012,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,20.0,4,5,5,Đầy đủ,0,2,33.9
100.0,10.8335576503074,106.668375603741,Giấy tờ khác,Chưa xác định,5.0,30.0,5,5,5,Thỏa thuận,0,2,29.0
616.0,10.806727578857975,106.79978850740255,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,3,5,6,Nhà trống,0,2,70.0
174.0,20.98214175280324,105.78154439684432,Giấy tờ khác,Chưa xác định,10.0,12.0,5,5,5,Thỏa thuận,1,2,36.54
286.0,20.5391118734068,105.93092783023,Sổ hồng/Sổ đỏ,Đông Bắc,15.0,18.0,4,5,5,Nhà trống,1,2,24.0
