area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_car_accessible,is_corner,price
70.0,10.78459089,106.627006,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,6.0,1,3.0,3.0,Đầy đủ,1,0,5.5
55.0,10.74555805,106.6897883,Giấy tờ khác,Chưa xác định,12.0,12.0,2,3.0,2.0,Đầy đủ,1,1,8.5
80.0,10.73323705,106.7315367,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,4,5.0,6.0,Đầy đủ,1,0,6.5
80.0,10.83725554,106.7907065,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,8.0,3,3.0,4.0,Đầy đủ,1,0,8.8
65.0,10.78855306,106.6615126,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,6.0,4,4.0,4.0,Đầy đủ,1,0,8.2
107.0,10.77383652,106.682959,Sổ hồng/Sổ đỏ,Chưa xác định,5.5,8.0,5,9.0,9.0,Đầy đủ,1,0,25.0
60.0,10.84213139,106.6570135,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,1,4.0,4.0,Nhà trống,1,0,8.6
46.0,10.84803291,106.6476825,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,3.0,2,3.0,2.0,Thỏa thuận,0,0,5.68
100.0,10.84979463,106.6651494,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,2.5,1,4.0,4.0,Thỏa thuận,0,0,14.95
66.0,10.78259631,106.6479899,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,10.0,2,4.0,3.0,Cơ bản,1,0,9.4
66.0,10.86686378,106.6492276,Sổ hồng/Sổ đỏ,Chưa xác định,5.6,4.0,2,3.0,3.0,Cơ bản,1,0,4.1
63.1,10.79223389,106.7161197,Sổ hồng/Sổ đỏ,Chưa xác định,3.9,2.5,5,10.0,10.0,Đầy đủ,0,1,22.0
33.0,10.74365544,106.6843324,Sổ hồng/Sổ đỏ,Chưa xác định,4.2,6.5,2,2.0,2.0,Đầy đủ,1,0,3.38
40.0,10.78997943,106.6462046,Giấy tờ khác,Chưa xác định,4.2,2.5,1,2.0,2.0,Nhà trống,0,1,5.5
93.0,10.7924041,106.632126,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,20.0,2,2.0,2.0,Thỏa thuận,1,0,21.9
105.8,10.84867866,106.6668782,Sổ hồng/Sổ đỏ,Chưa xác định,4.6,2.5,3,4.0,4.0,Thỏa thuận,0,0,13.9
101.0,10.77349294,106.6775829,Sổ hồng/Sổ đỏ,Chưa xác định,6.3,6.0,4,14.0,14.0,Đầy đủ,1,0,29.9
100.0,10.75609685,106.605869,Sổ hồng/Sổ đỏ,Nam,5.0,20.0,4,4.0,5.0,Đầy đủ,1,0,13.5
205.6,10.78972687,106.6938018,Sổ hồng/Sổ đỏ,Chưa xác định,4.5,2.5,3,4.0,4.0,Cơ bản,0,0,44.9
210.0,10.78840036,106.6836738,Sổ hồng/Sổ đỏ,Chưa xác định,14.0,2.5,6,4.0,4.0,Nhà trống,0,1,64.0
80.0,10.78337538,106.6035349,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,8.0,2,2.0,2.0,Đầy đủ,1,0,5.9
85.0,10.78668741,106.7680423,Sổ hồng/Sổ đỏ,Đông,4.0,5.0,2,5.0,5.0,Đầy đủ,1,0,7.0
436.0,10.81402241,106.6323506,Sổ hồng/Sổ đỏ,Đông Bắc,5.0,5.0,2,19.0,19.0,Nhà trống,1,0,29.8
90.0,10.78416612,106.6261815,Sổ hồng/Sổ đỏ,Chưa xác định,4.5,7.0,3,4.0,4.0,Nhà trống,1,0,10.0
35.0,10.80076878,106.6969996,Sổ hồng/Sổ đỏ,Chưa xác định,3.4,5.0,3,3.0,3.0,Đầy đủ,1,0,6.5
74.0,10.84681222,106.6569361,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,5,5.0,5.0,Đầy đủ,1,0,8.85
52.2,10.88675967,106.7238982,Giấy tờ khác,Tây Nam,4.9,6.0,5,5.0,5.0,Nhà trống,1,0,4.62
171.8,10.74828698,106.6194352,Sổ hồng/Sổ đỏ,Nam,8.4,20.0,2,10.0,9.0,Cơ bản,1,0,37.5
120.0,10.70854427,106.6275715,Giấy tờ khác,Chưa xác định,4.9,60.0,4,4.0,4.0,Thỏa thuận,1,0,9.9
62.9,10.78425172,106.6507483,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,5.0,1,2.0,2.0,Thỏa thuận,1,0,7.9
45.0,10.70561255,106.7408257,Sổ hồng/Sổ đỏ,Chưa xác định,4.3,11.0,2,3.0,3.0,Cơ bản,1,0,4.5
154.8,10.84984959,106.6509689,Sổ hồng/Sổ đỏ,Tây Nam,4.03,5.0,1,4.0,4.0,Nhà trống,1,0,11.5
65.0,10.78735025,106.6982964,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,2.5,3,4.0,4.0,Đầy đủ,0,0,29.0
66.0,10.80106139,106.6838022,Sổ hồng/Sổ đỏ,Chưa xác định,5.2,50.0,3,4.0,4.0,Đầy đủ,1,0,13.0
48.0,10.77817036,106.629103,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,6,3.0,4.0,Đầy đủ,1,0,8.5
54.0,10.79708648,106.6725073,Sổ hồng/Sổ đỏ,Chưa xác định,4.8,2.5,2,2.0,2.0,Thỏa thuận,0,0,8.5
68.3,10.83913367,106.6560941,Sổ hồng/Sổ đỏ,Chưa xác định,3.95,19.0,3,3.0,4.0,Nhà trống,1,0,7.1
76.0,10.71430408,106.7369121,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,4,3.0,3.0,Đầy đủ,1,1,7.3
