area,lat,lon,legal,direction,front_width,access_road,geo_cluster,land_depth,shape_ratio,business_potential,dist_to_center,road_type,price
110.0,21.0236868,106.0140586,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,19.0,77,21.568627450980394,4.229142637447136,95.0,16.600552734003315,2,7.15
100.0,10.7985645155657,106.827728273542,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,30.0,4,16.393442622950822,2.687449610319807,180.0,14.44055459427383,2,5.99
76.3,20.9916448965576,105.639002709509,Sổ hồng/Sổ đỏ,Đông,5.0,4.5,26,14.96078431372549,2.9334871203383317,22.5,22.710798307535438,1,3.05
198.0,15.1223936110343,108.812230814442,Sổ hồng/Sổ đỏ,Tây,8.5,7.5,21,23.02325581395349,2.6771227690643595,63.75,122.51091001995971,2,5.0
200.0,13.744723934792558,109.07725135412254,Sổ hồng/Sổ đỏ,Đông Nam,5.0,16.0,61,39.21568627450981,7.689350249903884,80.0,15.88119639515319,2,1.2
102.0,15.983341582462703,108.25205067014711,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,47,16.721311475409838,2.741198602526203,15.0,9.529831205302685,0,8.2
110.0,10.8488287747098,106.83707808254,Sổ hồng/Sổ đỏ,Nam,5.0,12.0,93,21.568627450980394,4.229142637447136,60.0,12.088165170866727,2,6.5
72.0,10.9278430452655,106.763861539555,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,12.0,70,17.5609756097561,4.283164782867342,48.0,9.213187622639614,2,3.95
108.1,11.0208775042568,106.680174145478,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,8.0,29,17.721311475409838,2.9051330287557113,48.0,5.44816664512963,2,2.55
108.0,20.488259266491145,105.77617418569828,Sổ hồng/Sổ đỏ,Đông,6.0,18.0,8,17.704918032786885,2.9024455791453914,108.0,42.10690521477823,2,1.0
186.0,15.9791829622629,108.271552860306,Sổ hồng/Sổ đỏ,Nam,6.0,5.5,47,30.491803278688526,4.998656275194841,33.0,11.175639585033734,1,9.1
240.0,21.1322890906607,105.777466648914,Giấy tờ khác,Chưa xác định,8.0,10.0,1,29.62962962962963,3.657978966620942,80.0,14.020468176512088,2,29.78
