area,lat,lon,legal,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
42.3,21.0118412177317,105.837193128899,Giấy tờ khác,4.5,2.5,3,2,2,Đầy đủ,0,0,14.0
68.0,21.0132038219988,105.827186272841,Sổ hồng/Sổ đỏ,5.0,7.0,4,5,4,Cơ bản,0,2,20.5
40.0,20.9229386153579,105.857582822558,Giấy tờ khác,4.5,2.5,4,4,4,Cơ bản,0,0,9.9
36.0,21.0314408808577,105.803709601205,Sổ hồng/Sổ đỏ,3.8,2.5,3,3,3,Đầy đủ,0,0,7.1
42.0,20.996449309903195,105.8237433179878,Sổ hồng/Sổ đỏ,4.0,2.5,5,6,4,Nhà trống,0,0,14.7
57.0,21.0348774992858,105.82536988121,Sổ hồng/Sổ đỏ,4.5,2.5,7,11,11,Đầy đủ,0,0,19.5
34.0,21.0152606116028,105.812845391603,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,1,0,8.5
48.0,20.9756079602643,105.789103796737,Sổ hồng/Sổ đỏ,4.5,12.0,6,5,6,Đầy đủ,0,2,15.4
30.0,21.024335034019,105.902432671358,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Thỏa thuận,0,0,6.8
360.0,21.0321898,105.8504481,Giấy tờ khác,11.0,2.5,5,4,4,Thỏa thuận,0,0,75.0
40.0,20.909376417017928,105.88936754150689,Giấy tờ khác,4.0,3.0,1,1,4,Đầy đủ,0,0,4.5
90.0,21.0314383272371,105.774471659011,Sổ hồng/Sổ đỏ,4.5,2.5,9,4,4,Đầy đủ,1,0,33.8
65.0,21.0610643167594,105.809148445766,Sổ hồng/Sổ đỏ,17.0,5.0,6,3,5,Đầy đủ,0,1,19.7
30.0,21.0236823434449,105.793053671842,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,10.5
36.0,20.981501621601,105.746044429794,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,4,Đầy đủ,0,0,8.0
85.0,21.0325448,105.8089097,Sổ hồng/Sổ đỏ,5.5,2.5,8,4,4,Nhà trống,1,0,30.0
110.0,21.0509889934374,105.86720548095,Giấy tờ khác,8.5,2.5,5,4,4,Nhà trống,0,0,23.0
43.0,21.0095190025181,105.820253447265,Sổ hồng/Sổ đỏ,5.0,4.0,5,6,4,Đầy đủ,1,1,8.0
300.0,21.0420980711914,105.844964574869,Sổ hồng/Sổ đỏ,20.0,2.5,5,4,4,Thỏa thuận,1,0,89.0
71.0,21.0658556620177,105.792075090021,Sổ hồng/Sổ đỏ,4.5,2.5,6,7,6,Đầy đủ,0,0,21.6
45.0,21.0208622623411,105.774657928238,Sổ hồng/Sổ đỏ,5.7,2.5,4,2,1,Đầy đủ,0,0,14.0
120.0,21.0092474849567,105.858772963249,Sổ hồng/Sổ đỏ,5.0,2.5,5,4,4,Đầy đủ,0,0,24.5
30.0,21.0066073092198,105.820479716779,Sổ hồng/Sổ đỏ,3.0,2.5,4,4,4,Đầy đủ,0,0,8.55
50.0,21.0917603985432,105.784854111376,Sổ hồng/Sổ đỏ,6.5,3.0,1,2,1,Cơ bản,0,0,7.98
38.0,21.0493749189398,105.806802090615,Giấy tờ khác,3.65,2.5,4,1,1,Thỏa thuận,1,0,8.8
40.0,21.019221420609,105.83397249652,Sổ hồng/Sổ đỏ,3.2,2.5,4,4,4,Đầy đủ,1,0,8.5
60.0,20.9399022742622,105.764302937819,Sổ hồng/Sổ đỏ,4.0,2.5,5,5,5,Cơ bản,0,0,10.3
55.0,21.0015719631002,105.846534920308,Sổ hồng/Sổ đỏ,4.0,15.0,6,5,5,Thỏa thuận,0,2,26.0
80.0,21.053565922671,105.839666827449,Sổ hồng/Sổ đỏ,4.5,2.5,5,8,9,Cơ bản,0,0,15.0
85.0,21.0194119550702,105.835494266739,Sổ hồng/Sổ đỏ,4.2,5.0,5,5,5,Đầy đủ,0,1,50.8
