area,lat,lon,bedrooms,bathrooms,legal,interior,project_name,project_name_raw,price
78.8,10.97041541,106.6648301,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,2.35
71.0,10.81455994,106.6829071,2.0,2.0,Giấy tờ khác,Thỏa thuận,5.605951661736071,Other_Unknown,3.9
59.0,20.99617342,105.9439746,2.0,1.0,Hợp đồng mua bán,Thỏa thuận,3.97631676034587,Vinhomes Ocean Park,3.15
70.0,10.8427237294694,106.843477491301,2.0,2.0,Hợp đồng mua bán,Thỏa thuận,4.468490683229813,Vinhomes Grand Park,3.8
99.0,10.73792237,106.7010854,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,6.696233252486732,Sunrise City,8.6
70.0,20.9749739,105.7768232,2.0,2.0,Giấy tờ khác,Nhà trống,5.93114323308883,Other_Hà Đông,5.85
100.0,10.79726473,106.8233093,3.0,4.0,Sổ hồng/Sổ đỏ,Đầy đủ,4.468490683229813,Vinhomes Grand Park,5.26
115.0,20.94332787,105.9201221,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,7.8
53.0,21.03272629,105.753746,2.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,7.852508765293277,Other_Nam Từ Liêm,4.5
75.0,10.79527282,106.7487869,3.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,7.9
92.0,20.9793644428605,105.787523106126,2.0,2.0,Hợp đồng mua bán,Đầy đủ,5.93114323308883,Other_Hà Đông,5.25
90.0,21.01531284,105.7977069,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,9.423773333331123,Other_Cầu Giấy,8.2
54.6,10.80401278,106.7729252,1.0,1.0,Hợp đồng mua bán,Thỏa thuận,7.470223405010899,Other_Quận 1,7.3
69.0,10.80074978,106.788826,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,4.2
80.0,21.0170671,105.8323373,2.0,1.0,Sổ hồng/Sổ đỏ,Nhà trống,7.681093239005807,Other_Đống Đa,8.9
82.0,20.93399381,105.9200433,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,6.1
94.0,10.77620826,106.6617146,3.0,2.0,Hợp đồng mua bán,Đầy đủ,6.475706723195885,Other_Quận 10,9.5
78.0,10.7305523,106.7316742,2.0,4.0,Hợp đồng mua bán,Thỏa thuận,5.605951661736071,Other_Unknown,8.9
73.0,18.66653196,105.6738978,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,4.015
88.0,10.87198417,106.7050583,2.0,1.0,Hợp đồng mua bán,Nhà trống,8.485144897577076,Landmark 81,5.4
80.0,10.7842413,106.7033245,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,15.8
30.0,12.20395513,109.1747888,1.0,1.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,1.7
70.0,20.98596329,105.8123593,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,8.55311046406356,Other_Thanh Xuân,6.3
33.0,16.07577352,108.1332894,1.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,0.95
64.5,10.71348301,106.7380344,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.521302912621359,Other_Quận 7,4.9
288.0,10.82607709,106.8188505,5.0,4.0,Hợp đồng mua bán,Nhà trống,6.501183490566007,Sky Garden,21.5
72.0,20.95698893,107.0148059,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,3.0
65.0,10.70429207,106.7126631,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,6.521302912621359,Other_Quận 7,5.5
91.29,16.07003765,108.2306719,3.0,3.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,8.759
59.0,10.80180706,106.7486856,1.0,1.0,Giấy tờ khác,Đầy đủ,12.662250798940716,Estella,8.5
56.5,20.9943391557868,105.95020569684785,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,3.65
120.0,10.82486667,106.6783761,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,4.272076283127215,Other_Gò Vấp,7.6
60.0,20.55637375,105.937594,2.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,5.0
44.0,10.12533052,103.9958421,1.0,1.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,2.5
89.0,21.08436209,105.7914901,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,9.19437434177025,Sunshine City,9.0
111.0,10.75815644,106.6938822,3.0,2.0,Hợp đồng mua bán,Đầy đủ,6.625809314727549,Other_Quận 4,8.3
85.0,20.95825275,107.0007431,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,3.6
149.0,10.79878394,106.7173448,4.0,4.0,Sổ hồng/Sổ đỏ,Nhà trống,8.95061765455814,Cantavil,11.92
110.0,20.999739,105.807556,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,9.2
59.0,10.8439216521828,106.843471185448,2.0,2.0,Hợp đồng mua bán,Nhà trống,4.468490683229813,Vinhomes Grand Park,3.2
90.0,20.99850414,105.8607406,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,4.3
126.0,20.99042606,105.8145159,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,11.6
50.0,10.80766478,106.481397,2.0,1.0,Hợp đồng mua bán,Nhà trống,2.8845937214683506,Other_Bình Tân,1.7
71.0,10.74458096,106.6968658,3.0,2.0,Giấy tờ khác,Nhà trống,6.521302912621359,Other_Quận 7,6.6
55.0,10.79540133,106.694226,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.883170127004287,Other_Bình Thạnh,3.2
69.0,21.03029387,105.7769595,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,6.15
51.0,10.89062152,106.8017522,2.0,2.0,Hợp đồng mua bán,Thỏa thuận,2.600034427900877,Bcons City,2.7
75.0,10.8712951,106.7053215,2.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,7.529605631284914,Other_Quận 2,4.15
71.0,21.03326988220215,105.81670379638672,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,10.110642295793602,Vinhomes Metropolis,9.3
59.0,10.84371153,106.8425264,2.0,2.0,Hợp đồng mua bán,Nhà trống,4.468490683229813,Vinhomes Grand Park,3.195
82.0,20.99113175,105.8685637,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,9.2
58.0,10.59638441816338,107.05534791856554,2.0,1.0,Hợp đồng mua bán,Đầy đủ,5.605951661736071,Other_Unknown,2.245
